Stock_Name,Pre_Market_Change_Percent,Pre_Market_Change_Dollars,Regular_Market_Change_Percent,Regular_Market_Change_Dollars,Post_Market_Change_Percent,Post_Market_Change_Dollars
GSX,14.6296215,16.2,14.6296215,16.2,-0.91545546,-0.17000008
STNE,20.49491,34.35,20.49491,34.35,0.14496587,0.060001373
